,TIME,KILLER,DEAD,KILL_METHOD,CURRENT_STATUS
549,14:1.00,NortuLuxx,ynwzey,weapon,dead
550,14:15.00,VortuLux,steveedo50,weapon,dead
551,14:17.00,WortuLuxx,steveedo50,weapon,dead
552,15:35.00,Sh33na,SensFortress,weapon,dead
553,15:35.00,DrDisRespect,r0139,weapon,dead
554,15:35.00,DrDisRespect,Micro1394,weapon,dead
555,15:35.00,Sh33na,SensFortress,weapon,dead
556,15:36.00,DrDisRespect,Micro1394,weapon,dead
557,15:36.00,Sh33na,SensFortress,weapon,dead
558,15:37.00,DrDisRespect,Micro1394,weapon,dead
559,15:37.00,Sh33na,SensFortress,weapon,dead
560,15:37.00,DrDisRespect,Micro1394,weapon,dead
561,15:37.00,Sh33na,SensFortress,weapon,dead
562,15:38.00,Sh33na,SensFortress,,dead
563,15:39.00,DrDisRespect,licro1394,weapon,dead
564,15:39.00,Sh33na,SensFortress,weapon,dead
565,15:39.00,DrDisRespect,Micro1394,weapon,dead
566,15:39.00,Sh33na,SensFortress,weapon,dead
567,15:40.00,Sh33na,SensFortress,weapon,dead
568,15:41.00,Sh33na,SensFortress,weapon,dead
569,15:41.00,Sh33na,SensFortress,weapon,dead
570,15:44.00,pzone,pzone,pzone,dead
571,15:45.00,pzone,pzone,pzone,dead
572,15:45.00,MichelDouglas,West_II,weapon,dead
573,15:45.00,pzone,pzone,pzone,dead
574,15:46.00,MichelDouglas,West_II,weapon,dead
575,15:46.00,pzone,pzone,pzone,dead
576,15:47.00,pzone,pzone,pzone,dead
577,15:47.00,MichelDouglas,West_II,weapon,dead
578,15:47.00,pzone,pzone,pzone,dead
579,15:47.00,MichelDouglas,West_II,weapon,dead
580,15:48.00,pzone,pzone,pzone,dead
581,15:48.00,MichelDouglas,West_II,weapon,dead
582,15:49.00,pzone,pzone,pzone,dead
583,15:49.00,MichelDouglas,West_II,weapon,dead
584,15:49.00,pzone,pzone,pzone,dead
585,15:49.00,MichelDouglas,West_II,weapon,dead
586,15:50.00,pzone,pzone,pzone,dead
587,15:50.00,MichelDouglas,West_II,weapon,dead
588,15:51.00,MichelDouglas,West_II,weapon,dead
589,15:51.00,MichelDouglas,West_II,weapon,dead
590,16:27.00,tLv.2,100%,,dead
591,16:41.00,GrandpaStig,evasive_pickle,weapon,dead
592,16:41.00,GrandpaStig,evasive_pickle,weapon,dead
